"","n","m","n.adj","n.look","RAR.ratio","true_ES","true_mean","RAR_theta","reject_l_unweighted","reject_m_unweighted","reject_h_unweighted","reject_lm_unweighted","reject_lh_unweighted","reject_mh_unweighted","reject_l_unweighted_close","reject_m_unweighted_close","reject_h_unweighted_close","reject_s_unweighted_close","reject_s_two_unweighted_close","reject_global","reject_l_CHW","reject_m_CHW","reject_h_CHW","reject_lm_CHW","reject_lh_CHW","reject_mh_CHW","reject_l_CHW_close","reject_m_CHW_close","reject_h_CHW_close","reject_lm_CHW_close","reject_lh_CHW_close","reject_mh_CHW_close","reject_s_CHW_close","reject_s_two_CHW_close","reject_l_bonferroni","reject_m_bonferroni","reject_h_bonferroni","reject_bonferroni","reject_lm_bonferroni","reject_lh_bonferroni","reject_mh_bonferroni","reject_s_two_bonferroni","prob.bon.lm","prob.bon.lh","prob.bon.mh","reject_l_dunnett","reject_m_dunnett","reject_h_dunnett","reject_dunnett","reject_lm_dun","reject_lh_dun","reject_mh_dun","reject_s_two_dun","prob.dun.lm","prob.dun.lh","prob.dun.mh","n.pbo.out","n.l.out","n.m.out","n.h.out","n.s.out","n.lh.out","n.lm.out","n.mh.out","n.s.two.out","prob.h","prob.m","prob.l","prob.lm","prob.lh","prob.mh"
"1",584,24,16,35,"7: 8: 1: 0","0, 0, 0, 0","0, 0, 0, 0",0.5,0.01547,0.01499,0.01459,0.0213,0.02101,0.02037,0.00691,0.0069,0.00673,0.02054,4e-04,0.02451,0.02374,0.02352,0.02397,0.03017,0.03112,0.03017,0.00649,0.00629,0.0064,0.00012,0.00015,0.00013,0.01918,4e-04,0.00736,0.00706,0.00745,0.02187,0.00085,0.00092,0.00087,0.00264,0.70529,0.19078,0.10393,0.00862,0.00817,0.00775,0.02454,0.00159,0.00153,0.00144,0.00456,0.53083,0.29481,0.17436,251,260.810477657935,260.68839427663,259.4890625,260.329509906152,308.133333333333,309.583333333333,319.923076923077,312.4,0.33305,0.33534,0.33161,0.33313,0.33285,0.33402
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",584,24,16,35,"7: 8: 1: 0","0, 1.07, 2.14, 2.14","0, 0.125, 0.25, 0.25",0.5,0.09364,0.44101,0.43782,0.46582,0.46341,0.74988,0.04855,0.34245,0.34086,0.73186,0.08527,0.76007,0.08657,0.39871,0.39531,0.44304,0.44107,0.74689,0.04946,0.33629,0.33445,0.00674,0.00655,0.0159,0.7202,0.02919,0.02242,0.26977,0.27079,0.56298,0.0238,0.02397,0.21488,0.26265,0.13892,0.13067,0.73041,0.03148,0.29398,0.25903,0.58449,0.04438,0.03452,0.25291,0.33181,0.19436,0.15027,0.65537,251,259.654266073595,266.396800380624,266.419943190312,265.944501527354,313.665648854962,314.494065281899,319.730188679245,317.160328879753,0.44098,0.44217,0.11685,0.26994,0.27015,0.45991
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
