"","n","m","n.adj","n.look","RAR.ratio","true_ES","true_mean","RAR_theta","reject_l_unweighted","reject_m_unweighted","reject_h_unweighted","reject_lm_unweighted","reject_lh_unweighted","reject_mh_unweighted","reject_l_unweighted_close","reject_m_unweighted_close","reject_h_unweighted_close","reject_s_unweighted_close","reject_s_two_unweighted_close","reject_global","reject_l_CHW","reject_m_CHW","reject_h_CHW","reject_lm_CHW","reject_lh_CHW","reject_mh_CHW","reject_l_CHW_close","reject_m_CHW_close","reject_h_CHW_close","reject_lm_CHW_close","reject_lh_CHW_close","reject_mh_CHW_close","reject_s_CHW_close","reject_s_two_CHW_close","reject_l_bonferroni","reject_m_bonferroni","reject_h_bonferroni","reject_bonferroni","reject_lm_bonferroni","reject_lh_bonferroni","reject_mh_bonferroni","reject_s_two_bonferroni","prob.bon.lm","prob.bon.lh","prob.bon.mh","reject_l_dunnett","reject_m_dunnett","reject_h_dunnett","reject_dunnett","reject_lm_dun","reject_lh_dun","reject_mh_dun","reject_s_two_dun","prob.dun.lm","prob.dun.lh","prob.dun.mh","n.pbo.out","n.l.out","n.m.out","n.h.out","n.s.out","n.lh.out","n.lm.out","n.mh.out","n.s.two.out","prob.h","prob.m","prob.l","prob.lm","prob.lh","prob.mh"
"1",584,24,16,35,"7: 8: 1: 0","0, 0, 0, 0","0, 0, 0, 0",0.5,0.0147,0.0141,0.0132,0.0185,0.0199,0.0193,0.0066,0.0061,0.0063,0.019,3e-04,0.0227,0.0186,0.0175,0.0185,0.0221,0.0237,0.023,0.0067,0.0069,0.0063,6e-04,3e-04,6e-04,0.0199,0.0015,0.0064,0.0078,0.0083,0.0225,6e-04,4e-04,0.0012,0.0022,0.6954,0.1946,0.11,0.0075,0.009,0.0088,0.0253,0.002,0.001,0.0015,0.0045,0.5258,0.2998,0.1744,251,256.402985074627,253.739130434783,243.428571428571,251.371859296482,320.333333333333,327,324,324.466666666667,0.3301,0.3371,0.3328,0.3285,0.3306,0.3409
"2",584,24,16,35,"7: 8: 1: 0","0, 0, 1.6, 2.4","0, 0, 0.188, 0.281",0.5,0.0109,0.2723,0.6399,0.2289,0.5887,0.7876,0.0016,0.1716,0.5413,0.7145,0.06,0.7342,0.0138,0.2834,0.6468,0.2492,0.6097,0.7835,0.0018,0.1728,0.5432,0.0029,0.0054,0.0855,0.7178,0.0938,5e-04,0.102,0.4613,0.5638,2e-04,0.0031,0.1763,0.1796,0.0263,0.1348,0.8389,9e-04,0.1162,0.4628,0.5799,0.0011,0.0057,0.2244,0.2312,0.0155,0.0968,0.8877,251,212.222222222222,265.159722222222,264.823269513991,264.772359988855,325,325.758620689655,325.13918128655,325.150319829424,0.6805,0.3042,0.0153,0.1042,0.2045,0.6913
"3",584,24,16,35,"7: 8: 1: 0","0, 1.07, 2.14, 2.14","0, 0.125, 0.25, 0.25",0.5,0.0931,0.4454,0.4398,0.4696,0.4635,0.7572,0.0459,0.3497,0.3434,0.739,0.1038,0.7645,0.1035,0.4549,0.4521,0.4884,0.4874,0.7595,0.0481,0.3503,0.3464,0.0232,0.0243,0.0956,0.7448,0.1431,0.0201,0.2762,0.2788,0.5751,0.0228,0.0244,0.2307,0.2779,0.1309,0.1283,0.7408,0.031,0.3013,0.2627,0.595,0.0419,0.0369,0.2623,0.3411,0.1846,0.1519,0.6635,251,256.112266112266,261.262346560091,261.631928406466,261.101638023631,325.720164609053,325.344827586207,325.02719665272,325.196366177498,0.4472,0.451,0.1018,0.2417,0.238,0.5203
"4",584,24,16,35,"7: 8: 1: 0","0, 2.14, 2.14, 2.14","0, 0.25, 0.25, 0.25",0.5,0.3656,0.3757,0.376,0.6361,0.6321,0.6374,0.2714,0.2777,0.2733,0.8224,0.1679,0.8487,0.381,0.3843,0.3894,0.6534,0.6509,0.6556,0.2741,0.2807,0.2774,0.0691,0.074,0.0751,0.8322,0.2182,0.2119,0.222,0.2165,0.6504,0.1272,0.1314,0.1352,0.3938,0.3339,0.3347,0.3314,0.2522,0.219,0.1956,0.6668,0.1972,0.1474,0.1223,0.4669,0.455,0.3167,0.2283,251,261.503101058008,261.084431777699,260.35075702956,260.977769766883,325.481081081081,325.642547033285,325.52862849534,325.54857928506,0.3317,0.3374,0.3309,0.3323,0.3305,0.3372
"5",584,24,16,35,"7: 8: 1: 0","0, 1.07, 2.14, 3.2","0, 0.125, 0.25, 0.375",0.5,0.0805,0.3656,0.7313,0.3759,0.7403,0.9097,0.0257,0.2207,0.6554,0.9018,0.168,0.9143,0.082,0.3685,0.7369,0.3941,0.7596,0.9124,0.0268,0.2203,0.6569,0.0156,0.0345,0.1576,0.904,0.2077,0.0047,0.0995,0.7219,0.8261,0.0028,0.0361,0.3604,0.3993,0.0108,0.1553,0.8339,0.0081,0.1202,0.7098,0.8381,0.0075,0.0586,0.4051,0.4712,0.0234,0.2041,0.7725,251,259.921641791045,267.416250567408,263.91033642868,264.646460176991,325.684057971015,325.711538461538,325.045050761421,325.201251805489,0.6832,0.2681,0.0487,0.1441,0.2774,0.5785
