"","n","m","n.adj","n.look","RAR.ratio","true_ES","true_mean","RAR_theta","reject_l_unweighted","reject_m_unweighted","reject_h_unweighted","reject_lm_unweighted","reject_lh_unweighted","reject_mh_unweighted","reject_l_unweighted_close","reject_m_unweighted_close","reject_h_unweighted_close","reject_s_unweighted_close","reject_s_two_unweighted_close","reject_global","reject_l_CHW","reject_m_CHW","reject_h_CHW","reject_lm_CHW","reject_lh_CHW","reject_mh_CHW","reject_l_CHW_close","reject_m_CHW_close","reject_h_CHW_close","reject_lm_CHW_close","reject_lh_CHW_close","reject_mh_CHW_close","reject_s_CHW_close","reject_s_two_CHW_close","reject_l_bonferroni","reject_m_bonferroni","reject_h_bonferroni","reject_bonferroni","reject_lm_bonferroni","reject_lh_bonferroni","reject_mh_bonferroni","reject_s_two_bonferroni","prob.bon.lm","prob.bon.lh","prob.bon.mh","reject_l_dunnett","reject_m_dunnett","reject_h_dunnett","reject_dunnett","reject_lm_dun","reject_lh_dun","reject_mh_dun","reject_s_two_dun","prob.dun.lm","prob.dun.lh","prob.dun.mh","n.pbo.out","n.l.out","n.m.out","n.h.out","n.s.out","n.lh.out","n.lm.out","n.mh.out","n.s.two.out","prob.h","prob.m","prob.l","prob.lm","prob.lh","prob.mh"
"1",104,40,16,4,"7: 8: 1: 0","1.8, 1.8, 1.8, 1.8","0.5, 0.5, 0.5, 0.5",0.5,0.020185,0.020208,0.020445,0.022953,0.022901,0.022845,0.006538,0.006516,0.006566,0.01962,0.000948,0.026068,0.142437,0.142568,0.142792,0.285218,0.285339,0.285467,0.00567,0.005609,0.005607,0.000228,0.000234,0.00022,0.016886,0.000682,0.008035,0.007757,0.007659,0.023451,0.000874,0.000902,0.000849,0.002625,0.715946,0.191565,0.092489,0.008058,0.007695,0.007641,0.023394,0.002,0.001867,0.001806,0.005673,0.52211,0.304199,0.173691,38,38.857848324515,38.7240149759315,38.7763509898341,38.7863318725571,53.5854700854701,53.8728070175439,53.4318181818182,53.6319648093842,0.332351,0.333513,0.334136,0.367614,0.333596,0.29879
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
