"","n","m","n.adj","n.look","RAR.ratio","true_ES","true_mean","RAR_theta","reject_l_unweighted","reject_m_unweighted","reject_h_unweighted","reject_lm_unweighted","reject_lh_unweighted","reject_mh_unweighted","reject_l_unweighted_close","reject_m_unweighted_close","reject_h_unweighted_close","reject_s_unweighted_close","reject_s_two_unweighted_close","reject_global","reject_l_CHW","reject_m_CHW","reject_h_CHW","reject_lm_CHW","reject_lh_CHW","reject_mh_CHW","reject_l_CHW_close","reject_m_CHW_close","reject_h_CHW_close","reject_lm_CHW_close","reject_lh_CHW_close","reject_mh_CHW_close","reject_s_CHW_close","reject_s_two_CHW_close","reject_l_bonferroni","reject_m_bonferroni","reject_h_bonferroni","reject_bonferroni","reject_lm_bonferroni","reject_lh_bonferroni","reject_mh_bonferroni","reject_s_two_bonferroni","prob.bon.lm","prob.bon.lh","prob.bon.mh","reject_l_dunnett","reject_m_dunnett","reject_h_dunnett","reject_dunnett","reject_lm_dun","reject_lh_dun","reject_mh_dun","reject_s_two_dun","prob.dun.lm","prob.dun.lh","prob.dun.mh","n.pbo.out","n.l.out","n.m.out","n.h.out","n.s.out","n.lh.out","n.lm.out","n.mh.out","n.s.two.out","prob.h","prob.m","prob.l","prob.lm","prob.lh","prob.mh"
"1",88,24,16,4,"7: 8: 1: 0","0, 0, 0, 0","0, 0, 0, 0",0.5,0.01743,0.01728,0.01715,0.02197,0.02236,0.02229,0.00641,0.00651,0.00677,0.01969,0.00125,0.02464,0.02299,0.02284,0.02286,0.02515,0.02486,0.02495,0.0064,0.0065,0.00663,0.00062,0.00079,0.00085,0.01953,0.00226,0.00714,0.00738,0.00759,0.02211,0.00087,0.00083,0.00078,0.00248,0.70916,0.18948,0.10136,0.00831,0.00834,0.00802,0.02467,0.00182,0.00158,0.00144,0.00484,0.53517,0.29246,0.17237,34,34.365625,34.36,34.4524886877828,34.3932411674347,47.0126582278481,47.5,47.2823529411765,47.2477876106195,0.33348,0.33288,0.33364,0.3325,0.33346,0.33404
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",88,24,16,4,"7: 8: 1: 0","0, 1.24, 2.49, 2.49","0, 0.375, 0.75, 0.75",0.5,0.13732,0.59754,0.59779,0.61171,0.61407,0.87744,0.03791,0.40007,0.40141,0.83939,0.29454,0.86865,0.13021,0.58559,0.58653,0.59222,0.59465,0.86853,0.0385,0.40072,0.40154,0.03528,0.03578,0.21141,0.84076,0.28247,0.0185,0.34527,0.34435,0.70812,0.02778,0.02747,0.34127,0.39652,0.10092,0.0968,0.80228,0.0285,0.36538,0.31381,0.70769,0.05068,0.03946,0.36887,0.45901,0.15589,0.12205,0.72206,34,34.2631168831169,35.56687961669,35.5844996762465,35.5155930348732,47.4564002235886,47.4586167800454,47.7264084007379,47.6587602223245,0.46962,0.46914,0.06124,0.1711,0.17406,0.65484
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
