"","n","m","n.adj","n.look","RAR.ratio","true_ES","true_mean","RAR_theta","reject_l_unweighted","reject_m_unweighted","reject_h_unweighted","reject_lm_unweighted","reject_lh_unweighted","reject_mh_unweighted","reject_l_unweighted_close","reject_m_unweighted_close","reject_h_unweighted_close","reject_s_unweighted_close","reject_s_two_unweighted_close","reject_global","reject_l_CHW","reject_m_CHW","reject_h_CHW","reject_lm_CHW","reject_lh_CHW","reject_mh_CHW","reject_l_CHW_close","reject_m_CHW_close","reject_h_CHW_close","reject_lm_CHW_close","reject_lh_CHW_close","reject_mh_CHW_close","reject_s_CHW_close","reject_s_two_CHW_close","reject_l_bonferroni","reject_m_bonferroni","reject_h_bonferroni","reject_bonferroni","reject_lm_bonferroni","reject_lh_bonferroni","reject_mh_bonferroni","reject_s_two_bonferroni","prob.bon.lm","prob.bon.lh","prob.bon.mh","reject_l_dunnett","reject_m_dunnett","reject_h_dunnett","reject_dunnett","reject_lm_dun","reject_lh_dun","reject_mh_dun","reject_s_two_dun","prob.dun.lm","prob.dun.lh","prob.dun.mh","n.pbo.out","n.l.out","n.m.out","n.h.out","n.s.out","n.lh.out","n.lm.out","n.mh.out","n.s.two.out","prob.h","prob.m","prob.l","prob.lm","prob.lh","prob.mh"
"1",584,24,16,35,"7: 8: 1: 0","0, 0, 0, 0","0, 0, 0, 0",0.5,0.0147,0.0141,0.0132,0.0185,0.0199,0.0193,0.0064,0.0061,0.0064,0.0189,3e-04,0.0227,0.0206,0.0189,0.0196,0.0221,0.0237,0.023,0.0066,0.0069,0.0063,6e-04,3e-04,6e-04,0.0198,0.0015,0.0064,0.0078,0.0083,0.0225,6e-04,4e-04,0.0012,0.0022,0.6954,0.1946,0.11,0.0075,0.009,0.0088,0.0253,0.002,0.001,0.0015,0.0045,0.5258,0.2998,0.1744,251,256.166666666667,253.739130434783,243.428571428571,251.267676767677,320.333333333333,327,324,324.466666666667,0.3326,0.3391,0.3283,0.3389,0.3252,0.3359
"2",584,24,16,35,"7: 8: 1: 0","0, 0, 1.6, 2.4","0, 0, 0.188, 0.281",0.5,0.0109,0.2723,0.6399,0.2289,0.5887,0.7876,0.0017,0.171,0.5413,0.714,0.0598,0.7342,0.0159,0.2902,0.6548,0.2492,0.6097,0.7835,0.0019,0.1721,0.5435,0.0029,0.0055,0.0858,0.7175,0.0942,5e-04,0.102,0.4613,0.5638,2e-04,0.0031,0.1763,0.1796,0.0263,0.1348,0.8389,9e-04,0.1162,0.4628,0.5799,0.0011,0.0057,0.2244,0.2312,0.0155,0.0968,0.8877,251,214.578947368421,265.023823358513,264.644894204232,264.603205574913,324.418181818182,325.758620689655,325.100233100233,325.08067940552,0.6821,0.3018,0.0161,0.1166,0.2119,0.6715
"3",584,24,16,35,"7: 8: 1: 0","0, 1.07, 2.14, 2.14","0, 0.125, 0.25, 0.25",0.5,0.0931,0.4454,0.4398,0.4696,0.4635,0.7572,0.0458,0.3495,0.3427,0.738,0.1034,0.7645,0.1072,0.4612,0.4596,0.4884,0.4874,0.7595,0.0479,0.3506,0.3457,0.0233,0.0244,0.0961,0.7442,0.1438,0.0201,0.2762,0.2788,0.5751,0.0228,0.0244,0.2307,0.2779,0.1309,0.1283,0.7408,0.031,0.3013,0.2627,0.595,0.0419,0.0369,0.2623,0.3411,0.1846,0.1519,0.6635,251,255.624217118998,260.851682829435,261.454150997975,260.795081967213,325.618852459016,325.296137339056,324.920915712799,325.100139082058,0.4465,0.4522,0.1013,0.2468,0.2406,0.5126
"4",584,24,16,35,"7: 8: 1: 0","0, 2.14, 2.14, 2.14","0, 0.25, 0.25, 0.25",0.5,0.3656,0.3757,0.376,0.6361,0.6321,0.6374,0.2709,0.2775,0.2727,0.8211,0.1673,0.8487,0.3867,0.3905,0.3965,0.6534,0.6509,0.6556,0.2738,0.2808,0.2771,0.0692,0.0751,0.0758,0.8317,0.2201,0.2119,0.222,0.2165,0.6504,0.1272,0.1314,0.1352,0.3938,0.3339,0.3347,0.3314,0.2522,0.219,0.1956,0.6668,0.1972,0.1474,0.1223,0.4669,0.455,0.3167,0.2283,251,261.299488677867,260.743233618234,260.124142908697,260.720091379103,324.876165113182,325.591040462428,325.246701846966,325.228532485234,0.3312,0.3382,0.3306,0.3305,0.3307,0.3388
"5",584,24,16,35,"7: 8: 1: 0","0, 1.07, 2.14, 3.2","0, 0.125, 0.25, 0.375",0.5,0.0805,0.3656,0.7313,0.3759,0.7403,0.9097,0.0253,0.2195,0.6557,0.9005,0.167,0.9143,0.0864,0.3752,0.7426,0.3941,0.7596,0.9124,0.0267,0.2192,0.6576,0.0156,0.0346,0.1581,0.9035,0.2083,0.0047,0.0995,0.7219,0.8261,0.0028,0.0361,0.3604,0.3993,0.0108,0.1553,0.8339,0.0081,0.1202,0.7098,0.8381,0.0075,0.0586,0.4051,0.4712,0.0234,0.2041,0.7725,251,258.093632958801,267.276459854015,263.602341849148,264.330935251799,325.190751445087,325.711538461538,324.936748893106,325.036965914546,0.6851,0.2666,0.0483,0.1466,0.2813,0.5721
